CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	0	100.00	1
2	6	0	100.00	6
3	22	1	95.65	23
4	12	0	100.00	12
5	4	2	66.67	6
6	28	0	100.00	28
7	7	0	100.00	7
8	34	1	97.14	35
9	11	0	100.00	11
10	17	0	100.00	17
11	34	0	100.00	34
12	29	0	100.00	29
13	73	3	96.05	76
14	22	2	91.67	24
15	29	2	93.55	31
16	178	5	97.27	183
17	761	7	99.09	768
18	113	1	99.12	114
19	1419	6	99.58	1425
20	1629	31	98.13	1660
21	852	47	94.77	899
22	1148	49	95.91	1197
23	965	20	97.97	985
24	630	6	99.06	636
25	816	11	98.67	827
26	395	8	98.01	403
27	1031	11	98.94	1042
28	786	9	98.87	795
29	718	12	98.36	730
30	766	9	98.84	775
31	887	16	98.23	903
32	702	21	97.10	723
33	521	24	95.60	545
34	1550	38	97.61	1588
35	124	3	97.64	127
36	1212	19	98.46	1231
37	1222	12	99.03	1234
38	316	7	97.83	323
39	390	9	97.74	399
40	571	6	98.96	577
41	1708	44	97.49	1752
42	737	7	99.06	744
43	1334	36	97.37	1370
44	1825	70	96.31	1895
45	59	1	98.33	60
46	220	6	97.35	226
47	92	5	94.85	97
48	1245	12	99.05	1257
49	120	13	90.23	133
50	971	129	88.27	1100
51	82	3	96.47	85
52	1181	25	97.93	1206
53	608	17	97.28	625
54	684	16	97.71	700
55	400	7	98.28	407
56	3141	90	97.21	3231
57	816	23	97.26	839
58	72	1	98.63	73
59	836	15	98.24	851
60	503	3	99.41	506
61	80	0	100.00	80
62	734	6	99.19	740
63	1183	12	99.00	1195
64	405	7	98.30	412
65	762	11	98.58	773
66	265	6	97.79	271
67	166	9	94.86	175
68	769	13	98.34	782
69	386	8	97.97	394
70	1252	20	98.43	1272
71	2753	34	98.78	2787
72	282	8	97.24	290
73	98	3	97.03	101
74	1467	41	97.28	1508
75	1597	42	97.44	1639
76	37	1	97.37	38
77	814	15	98.19	829
78	2515	27	98.94	2542
79	217	4	98.19	221
80	1559	23	98.55	1582
81	1630	7	99.57	1637
82	206	4	98.10	210
83	697	10	98.59	707
84	1225	53	95.85	1278
85	190	2	98.96	192
86	464	8	98.31	472
87	147	3	98.00	150
88	2383	33	98.63	2416
89	72	0	100.00	72
90	1438	23	98.43	1461
91	1368	23	98.35	1391
92	255	5	98.08	260
93	887	25	97.26	912
94	2091	28	98.68	2119
95	669	15	97.81	684
96	86	3	96.63	89
97	217	10	95.59	227
98	1302	14	98.94	1316
99	737	27	96.47	764
100	188	15	92.61	203
101	625	23	96.45	648
102	1394	43	97.01	1437
103	2082	21	99.00	2103
104	250	5	98.04	255
105	34	1	97.14	35
106	113	1	99.12	114
107	395	20	95.18	415
108	202	10	95.28	212
109	1439	46	96.90	1485
110	1315	21	98.43	1336
111	1405	17	98.80	1422
112	595	8	98.67	603
113	245	5	98.00	250
114	1693	19	98.89	1712
115	504	6	98.82	510
116	60	0	100.00	60
117	292	11	96.37	303
118	1700	28	98.38	1728
119	93	4	95.88	97
120	141	1	99.30	142
121	522	3	99.43	525
122	866	16	98.19	882
123	503	6	98.82	509
124	176	3	98.32	179
125	775	13	98.35	788
126	910	16	98.27	926
127	100	46	68.49	146
128	358	8	97.81	366
129	854	5	99.42	859
130	1161	11	99.06	1172
131	1002	10	99.01	1012
132	42	0	100.00	42
133	26	0	100.00	26
134	50	4	92.59	54
135	58	4	93.55	62
136	275	20	93.22	295
137	1904	156	92.43	2060
138	529	23	95.83	552
139	378	5	98.69	383
140	1229	15	98.79	1244
141	263	2	99.25	265
142	1235	8	99.36	1243
143	404	4	99.02	408
144	855	43	95.21	898
145	172	1	99.42	173
146	2317	18	99.23	2335
147	176	3	98.32	179
148	1307	15	98.87	1322
149	665	12	98.23	677
150	2918	27	99.08	2945
151	311	4	98.73	315
152	1552	28	98.23	1580
153	2388	76	96.92	2464
154	172	12	93.48	184
155	588	21	96.55	609
156	606	19	96.96	625
157	1785	32	98.24	1817
158	130	1	99.24	131
159	1247	18	98.58	1265
160	871	24	97.32	895
161	397	5	98.76	402
162	978	8	99.19	986
163	1275	11	99.14	1286
164	43	1	97.73	44
165	96	2	97.96	98
166	1115	38	96.70	1153
167	161	2	98.77	163
168	469	8	98.32	477
169	1365	2	99.85	1367
170	221	4	98.22	225
171	530	16	97.07	546
172	1910	68	96.56	1978
173	493	26	94.99	519
174	36	0	100.00	36
175	104	2	98.11	106
176	392	10	97.51	402
177	1499	13	99.14	1512
178	241	5	97.97	246
179	299	11	96.45	310
180	113	1	99.12	114
181	1147	20	98.29	1167
182	216	4	98.18	220
183	303	6	98.06	309
184	954	80	92.26	1034
185	725	13	98.24	738
186	166	9	94.86	175
187	774	20	97.48	794
188	1125	19	98.34	1144
189	53	0	100.00	53
190	177	1	99.44	178
191	322	1	99.69	323
192	957	13	98.66	970
193	431	1	99.77	432
194	91	1	98.91	92
195	68	1	98.55	69
196	929	11	98.83	940
197	199	2	99.00	201
198	73	4	94.81	77
199	196	6	97.03	202
200	441	17	96.29	458
201	911	6	99.35	917
202	224	1	99.56	225
203	2116	17	99.20	2133
204	220	2	99.10	222
205	1254	10	99.21	1264
206	71	1	98.61	72
207	298	6	98.03	304
208	2168	49	97.79	2217
209	465	6	98.73	471
210	212	5	97.70	217
211	552	15	97.35	567
212	31	2	93.94	33
213	7	0	100.00	7
214	5	0	100.00	5
215	0	0		0
